ValoresRms,TimeStamp,EPOCH
2.843,15/07/2020 19:52:24.411,1594853544411
2.848,15/07/2020 19:52:24.910,1594853544910
2.866,15/07/2020 19:52:25.409,1594853545409
2.851,15/07/2020 19:52:25.909,1594853545909
2.875,15/07/2020 19:52:26.408,1594853546408
0.725,15/07/2020 19:52:26.908,1594853546908
0.731,15/07/2020 19:52:27.407,1594853547407
0.722,15/07/2020 19:52:27.907,1594853547907
0.727,15/07/2020 19:52:28.406,1594853548406
0.783,15/07/2020 19:52:28.906,1594853548906
0.770,15/07/2020 19:52:29.405,1594853549405
0.723,15/07/2020 19:52:29.905,1594853549905
0.731,15/07/2020 19:52:30.404,1594853550404
0.746,15/07/2020 19:52:30.903,1594853550903
0.732,15/07/2020 19:52:31.403,1594853551403
0.726,15/07/2020 19:52:31.902,1594853551902
0.755,15/07/2020 19:52:32.402,1594853552402
0.740,15/07/2020 19:52:32.901,1594853552901
0.742,15/07/2020 19:52:33.401,1594853553401
0.740,15/07/2020 19:52:33.900,1594853553900
0.743,15/07/2020 19:52:34.400,1594853554400
0.738,15/07/2020 19:52:34.899,1594853554899
0.728,15/07/2020 19:52:35.399,1594853555399
0.730,15/07/2020 19:52:35.898,1594853555898
0.717,15/07/2020 19:52:36.397,1594853556397
0.714,15/07/2020 19:52:36.897,1594853556897
0.726,15/07/2020 19:52:37.396,1594853557396
0.708,15/07/2020 19:52:37.896,1594853557896
0.705,15/07/2020 19:52:38.395,1594853558395
0.705,15/07/2020 19:52:38.895,1594853558895
0.708,15/07/2020 19:52:39.394,1594853559394
0.722,15/07/2020 19:52:39.894,1594853559894
0.714,15/07/2020 19:52:40.393,1594853560393
0.716,15/07/2020 19:52:40.893,1594853560893
0.716,15/07/2020 19:52:41.392,1594853561392
0.729,15/07/2020 19:52:41.891,1594853561891
0.741,15/07/2020 19:52:42.391,1594853562391
0.766,15/07/2020 19:52:42.890,1594853562890
0.776,15/07/2020 19:52:43.390,1594853563390
0.693,15/07/2020 19:52:43.889,1594853563889
0.694,15/07/2020 19:52:44.389,1594853564389
0.697,15/07/2020 19:52:44.888,1594853564888
0.703,15/07/2020 19:52:45.388,1594853565388
0.704,15/07/2020 19:52:45.887,1594853565887
0.758,15/07/2020 19:52:46.387,1594853566387
0.751,15/07/2020 19:52:46.886,1594853566886
0.749,15/07/2020 19:52:47.385,1594853567385
0.721,15/07/2020 19:52:47.885,1594853567885
0.728,15/07/2020 19:52:48.384,1594853568384
0.714,15/07/2020 19:52:48.884,1594853568884
0.787,15/07/2020 19:52:49.383,1594853569383
0.833,15/07/2020 19:52:49.883,1594853569883
0.812,15/07/2020 19:52:50.382,1594853570382
0.738,15/07/2020 19:52:50.882,1594853570882
0.721,15/07/2020 19:52:51.381,1594853571381
0.713,15/07/2020 19:52:51.881,1594853571881
0.732,15/07/2020 19:52:52.380,1594853572380
0.712,15/07/2020 19:52:52.879,1594853572879
0.724,15/07/2020 19:52:53.379,1594853573379
0.713,15/07/2020 19:52:53.878,1594853573878
0.732,15/07/2020 19:52:54.378,1594853574378
0.711,15/07/2020 19:52:54.877,1594853574877
0.728,15/07/2020 19:52:55.377,1594853575377
0.808,15/07/2020 19:52:55.876,1594853575876
0.737,15/07/2020 19:52:56.376,1594853576376
0.702,15/07/2020 19:52:56.875,1594853576875
0.717,15/07/2020 19:52:57.375,1594853577375
0.714,15/07/2020 19:52:57.874,1594853577874
0.714,15/07/2020 19:52:58.373,1594853578373
0.709,15/07/2020 19:52:58.873,1594853578873
0.713,15/07/2020 19:52:59.372,1594853579372
0.712,15/07/2020 19:52:59.872,1594853579872
0.714,15/07/2020 19:53:00.371,1594853580371
0.729,15/07/2020 19:53:00.871,1594853580871
0.713,15/07/2020 19:53:01.370,1594853581370
0.713,15/07/2020 19:53:01.870,1594853581870
0.710,15/07/2020 19:53:02.369,1594853582369
0.718,15/07/2020 19:53:02.869,1594853582869
0.718,15/07/2020 19:53:03.368,1594853583368
0.722,15/07/2020 19:53:03.867,1594853583867
0.714,15/07/2020 19:53:04.367,1594853584367
0.716,15/07/2020 19:53:04.866,1594853584866
0.704,15/07/2020 19:53:05.366,1594853585366
0.722,15/07/2020 19:53:05.865,1594853585865
0.716,15/07/2020 19:53:06.365,1594853586365
0.718,15/07/2020 19:53:06.864,1594853586864
0.709,15/07/2020 19:53:07.364,1594853587364
0.709,15/07/2020 19:53:07.863,1594853587863
0.716,15/07/2020 19:53:08.363,1594853588363
0.720,15/07/2020 19:53:08.862,1594853588862
0.791,15/07/2020 19:53:09.361,1594853589361
0.776,15/07/2020 19:53:09.861,1594853589861
0.718,15/07/2020 19:53:10.360,1594853590360
0.723,15/07/2020 19:53:10.860,1594853590860
0.715,15/07/2020 19:53:11.359,1594853591359
0.710,15/07/2020 19:53:11.859,1594853591859
0.715,15/07/2020 19:53:12.358,1594853592358
0.711,15/07/2020 19:53:12.858,1594853592858
0.736,15/07/2020 19:53:13.357,1594853593357
0.717,15/07/2020 19:53:13.857,1594853593857
0.765,15/07/2020 19:53:14.356,1594853594356
0.716,15/07/2020 19:53:14.855,1594853594855
0.769,15/07/2020 19:53:15.355,1594853595355
0.719,15/07/2020 19:53:15.854,1594853595854
0.779,15/07/2020 19:53:16.354,1594853596354
0.714,15/07/2020 19:53:16.853,1594853596853
0.767,15/07/2020 19:53:17.353,1594853597353
0.719,15/07/2020 19:53:17.852,1594853597852
0.766,15/07/2020 19:53:18.352,1594853598352
0.713,15/07/2020 19:53:18.851,1594853598851
0.783,15/07/2020 19:53:19.351,1594853599351
0.713,15/07/2020 19:53:19.850,1594853599850
0.804,15/07/2020 19:53:20.349,1594853600349
0.766,15/07/2020 19:53:20.849,1594853600849
0.764,15/07/2020 19:53:21.348,1594853601348
0.772,15/07/2020 19:53:21.848,1594853601848
0.769,15/07/2020 19:53:22.347,1594853602347
0.765,15/07/2020 19:53:22.847,1594853602847
0.771,15/07/2020 19:53:23.346,1594853603346
0.766,15/07/2020 19:53:23.846,1594853603846
0.714,15/07/2020 19:53:24.345,1594853604345
0.715,15/07/2020 19:53:24.845,1594853604845
0.721,15/07/2020 19:53:25.344,1594853605344
0.714,15/07/2020 19:53:25.843,1594853605843
0.725,15/07/2020 19:53:26.343,1594853606343
0.700,15/07/2020 19:53:26.842,1594853606842
0.713,15/07/2020 19:53:27.342,1594853607342
0.714,15/07/2020 19:53:27.841,1594853607841
0.711,15/07/2020 19:53:28.341,1594853608341
0.717,15/07/2020 19:53:28.840,1594853608840
0.710,15/07/2020 19:53:29.340,1594853609340
0.713,15/07/2020 19:53:29.839,1594853609839
0.717,15/07/2020 19:53:30.339,1594853610339
0.720,15/07/2020 19:53:30.838,1594853610838
0.724,15/07/2020 19:53:31.337,1594853611337
0.709,15/07/2020 19:53:31.837,1594853611837
0.725,15/07/2020 19:53:32.336,1594853612336
0.708,15/07/2020 19:53:32.836,1594853612836
0.710,15/07/2020 19:53:33.335,1594853613335
0.708,15/07/2020 19:53:33.835,1594853613835
0.717,15/07/2020 19:53:34.334,1594853614334
0.723,15/07/2020 19:53:34.834,1594853614834
0.715,15/07/2020 19:53:35.333,1594853615333
0.714,15/07/2020 19:53:35.833,1594853615833
0.716,15/07/2020 19:53:36.332,1594853616332
0.712,15/07/2020 19:53:36.831,1594853616831
0.719,15/07/2020 19:53:37.331,1594853617331
0.720,15/07/2020 19:53:37.830,1594853617830
0.717,15/07/2020 19:53:38.330,1594853618330
0.716,15/07/2020 19:53:38.829,1594853618829
0.707,15/07/2020 19:53:39.329,1594853619329
0.715,15/07/2020 19:53:39.828,1594853619828
0.716,15/07/2020 19:53:40.328,1594853620328
0.719,15/07/2020 19:53:40.827,1594853620827
0.720,15/07/2020 19:53:41.327,1594853621327
0.715,15/07/2020 19:53:41.826,1594853621826
0.712,15/07/2020 19:53:42.325,1594853622325
0.708,15/07/2020 19:53:42.825,1594853622825
0.706,15/07/2020 19:53:43.324,1594853623324
0.720,15/07/2020 19:53:43.824,1594853623824
0.707,15/07/2020 19:53:44.323,1594853624323
0.711,15/07/2020 19:53:44.823,1594853624823
0.725,15/07/2020 19:53:45.322,1594853625322
0.731,15/07/2020 19:53:45.822,1594853625822
0.715,15/07/2020 19:53:46.321,1594853626321
0.751,15/07/2020 19:53:46.821,1594853626821
0.717,15/07/2020 19:53:47.320,1594853627320
0.726,15/07/2020 19:53:47.819,1594853627819
0.718,15/07/2020 19:53:48.319,1594853628319
0.712,15/07/2020 19:53:48.818,1594853628818
0.707,15/07/2020 19:53:49.318,1594853629318
0.720,15/07/2020 19:53:49.817,1594853629817
0.715,15/07/2020 19:53:50.317,1594853630317
0.715,15/07/2020 19:53:50.816,1594853630816
0.709,15/07/2020 19:53:51.316,1594853631316
0.708,15/07/2020 19:53:51.815,1594853631815
0.713,15/07/2020 19:53:52.315,1594853632315
0.706,15/07/2020 19:53:52.814,1594853632814
0.727,15/07/2020 19:53:53.313,1594853633313
0.710,15/07/2020 19:53:53.813,1594853633813
0.715,15/07/2020 19:53:54.312,1594853634312
0.709,15/07/2020 19:53:54.812,1594853634812
0.760,15/07/2020 19:53:55.311,1594853635311
0.715,15/07/2020 19:53:55.811,1594853635811
0.721,15/07/2020 19:53:56.310,1594853636310
0.705,15/07/2020 19:53:56.810,1594853636810
0.711,15/07/2020 19:53:57.309,1594853637309
0.714,15/07/2020 19:53:57.809,1594853637809
0.715,15/07/2020 19:53:58.308,1594853638308
0.714,15/07/2020 19:53:58.807,1594853638807
0.710,15/07/2020 19:53:59.307,1594853639307
0.711,15/07/2020 19:53:59.806,1594853639806
0.720,15/07/2020 19:54:00.306,1594853640306
0.716,15/07/2020 19:54:00.805,1594853640805
0.716,15/07/2020 19:54:01.305,1594853641305
0.756,15/07/2020 19:54:01.804,1594853641804
0.747,15/07/2020 19:54:02.304,1594853642304
0.715,15/07/2020 19:54:02.803,1594853642803
0.740,15/07/2020 19:54:03.303,1594853643303
0.714,15/07/2020 19:54:03.802,1594853643802
0.725,15/07/2020 19:54:04.301,1594853644301
0.729,15/07/2020 19:54:04.801,1594853644801
0.788,15/07/2020 19:54:05.300,1594853645300
0.708,15/07/2020 19:54:05.800,1594853645800
0.711,15/07/2020 19:54:06.299,1594853646299
0.711,15/07/2020 19:54:06.799,1594853646799
0.714,15/07/2020 19:54:07.298,1594853647298
0.723,15/07/2020 19:54:07.798,1594853647798
0.721,15/07/2020 19:54:08.297,1594853648297
0.719,15/07/2020 19:54:08.797,1594853648797
0.721,15/07/2020 19:54:09.296,1594853649296
0.747,15/07/2020 19:54:09.795,1594853649795
0.734,15/07/2020 19:54:10.295,1594853650295
0.713,15/07/2020 19:54:10.794,1594853650794
0.714,15/07/2020 19:54:11.294,1594853651294
0.778,15/07/2020 19:54:11.793,1594853651793
0.728,15/07/2020 19:54:12.293,1594853652293
0.710,15/07/2020 19:54:12.792,1594853652792
0.723,15/07/2020 19:54:13.292,1594853653292
0.700,15/07/2020 19:54:13.791,1594853653791
0.718,15/07/2020 19:54:14.291,1594853654291
0.708,15/07/2020 19:54:14.790,1594853654790
0.710,15/07/2020 19:54:15.289,1594853655289
0.712,15/07/2020 19:54:15.789,1594853655789
0.716,15/07/2020 19:54:16.288,1594853656288
0.712,15/07/2020 19:54:16.788,1594853656788
0.715,15/07/2020 19:54:17.287,1594853657287
0.714,15/07/2020 19:54:17.787,1594853657787
0.720,15/07/2020 19:54:18.286,1594853658286
0.711,15/07/2020 19:54:18.786,1594853658786
0.703,15/07/2020 19:54:19.285,1594853659285
0.708,15/07/2020 19:54:19.785,1594853659785
0.704,15/07/2020 19:54:20.284,1594853660284
0.710,15/07/2020 19:54:20.783,1594853660783
0.706,15/07/2020 19:54:21.283,1594853661283
0.720,15/07/2020 19:54:21.782,1594853661782
0.700,15/07/2020 19:54:22.282,1594853662282
0.709,15/07/2020 19:54:22.781,1594853662781
0.707,15/07/2020 19:54:23.281,1594853663281
0.712,15/07/2020 19:54:23.780,1594853663780
0.709,15/07/2020 19:54:24.280,1594853664280
0.711,15/07/2020 19:54:24.779,1594853664779
0.715,15/07/2020 19:54:25.279,1594853665279
0.701,15/07/2020 19:54:25.778,1594853665778
0.704,15/07/2020 19:54:26.277,1594853666277
0.722,15/07/2020 19:54:26.777,1594853666777
0.714,15/07/2020 19:54:27.276,1594853667276
0.709,15/07/2020 19:54:27.776,1594853667776
0.711,15/07/2020 19:54:28.275,1594853668275
0.738,15/07/2020 19:54:28.775,1594853668775
0.729,15/07/2020 19:54:29.274,1594853669274
0.839,15/07/2020 19:54:29.774,1594853669774
0.724,15/07/2020 19:54:30.273,1594853670273
0.708,15/07/2020 19:54:30.773,1594853670773
0.704,15/07/2020 19:54:31.272,1594853671272
0.767,15/07/2020 19:54:31.771,1594853671771
0.759,15/07/2020 19:54:32.271,1594853672271
0.714,15/07/2020 19:54:32.770,1594853672770
0.720,15/07/2020 19:54:33.270,1594853673270
0.715,15/07/2020 19:54:33.769,1594853673769
0.710,15/07/2020 19:54:34.269,1594853674269
0.694,15/07/2020 19:54:34.768,1594853674768
0.708,15/07/2020 19:54:35.268,1594853675268
0.703,15/07/2020 19:54:35.767,1594853675767
0.701,15/07/2020 19:54:36.267,1594853676267
0.710,15/07/2020 19:54:36.766,1594853676766
0.709,15/07/2020 19:54:37.265,1594853677265
0.713,15/07/2020 19:54:37.765,1594853677765
0.708,15/07/2020 19:54:38.264,1594853678264
0.723,15/07/2020 19:54:38.764,1594853678764
0.708,15/07/2020 19:54:39.263,1594853679263
0.710,15/07/2020 19:54:39.763,1594853679763
0.701,15/07/2020 19:54:40.262,1594853680262
0.708,15/07/2020 19:54:40.762,1594853680762
0.700,15/07/2020 19:54:41.261,1594853681261
0.701,15/07/2020 19:54:41.761,1594853681761
0.699,15/07/2020 19:54:42.260,1594853682260
0.704,15/07/2020 19:54:42.759,1594853682759
0.697,15/07/2020 19:54:43.259,1594853683259
0.706,15/07/2020 19:54:43.758,1594853683758
0.706,15/07/2020 19:54:44.258,1594853684258
0.705,15/07/2020 19:54:44.757,1594853684757
0.701,15/07/2020 19:54:45.257,1594853685257
0.700,15/07/2020 19:54:45.756,1594853685756
0.696,15/07/2020 19:54:46.256,1594853686256
0.702,15/07/2020 19:54:46.755,1594853686755
0.705,15/07/2020 19:54:47.255,1594853687255
0.697,15/07/2020 19:54:47.754,1594853687754
0.699,15/07/2020 19:54:48.253,1594853688253
0.701,15/07/2020 19:54:48.753,1594853688753
0.702,15/07/2020 19:54:49.252,1594853689252
0.697,15/07/2020 19:54:49.752,1594853689752
0.704,15/07/2020 19:54:50.251,1594853690251
0.699,15/07/2020 19:54:50.751,1594853690751
0.697,15/07/2020 19:54:51.250,1594853691250
0.717,15/07/2020 19:54:51.750,1594853691750
0.710,15/07/2020 19:54:52.249,1594853692249
0.704,15/07/2020 19:54:52.749,1594853692749
0.732,15/07/2020 19:54:53.248,1594853693248
0.700,15/07/2020 19:54:53.747,1594853693747
0.693,15/07/2020 19:54:54.247,1594853694247
0.693,15/07/2020 19:54:54.746,1594853694746
0.697,15/07/2020 19:54:55.246,1594853695246
0.698,15/07/2020 19:54:55.745,1594853695745
0.676,15/07/2020 19:54:56.245,1594853696245
0.692,15/07/2020 19:54:56.744,1594853696744
0.698,15/07/2020 19:54:57.244,1594853697244
0.699,15/07/2020 19:54:57.743,1594853697743
0.696,15/07/2020 19:54:58.243,1594853698243
0.694,15/07/2020 19:54:58.742,1594853698742
0.704,15/07/2020 19:54:59.241,1594853699241
0.699,15/07/2020 19:54:59.741,1594853699741
0.726,15/07/2020 19:55:00.240,1594853700240
0.733,15/07/2020 19:55:00.740,1594853700740
0.706,15/07/2020 19:55:01.239,1594853701239
0.695,15/07/2020 19:55:01.739,1594853701739
0.695,15/07/2020 19:55:02.238,1594853702238
0.700,15/07/2020 19:55:02.738,1594853702738
0.701,15/07/2020 19:55:03.237,1594853703237
0.699,15/07/2020 19:55:03.737,1594853703737
0.708,15/07/2020 19:55:04.236,1594853704236
0.691,15/07/2020 19:55:04.735,1594853704735
0.700,15/07/2020 19:55:05.235,1594853705235
0.697,15/07/2020 19:55:05.734,1594853705734
0.699,15/07/2020 19:55:06.234,1594853706234
0.698,15/07/2020 19:55:06.733,1594853706733
0.693,15/07/2020 19:55:07.233,1594853707233
0.697,15/07/2020 19:55:07.732,1594853707732
0.709,15/07/2020 19:55:08.232,1594853708232
0.693,15/07/2020 19:55:08.731,1594853708731
0.801,15/07/2020 19:55:09.231,1594853709231
0.722,15/07/2020 19:55:09.730,1594853709730
0.700,15/07/2020 19:55:10.229,1594853710229
0.699,15/07/2020 19:55:10.729,1594853710729
0.699,15/07/2020 19:55:11.228,1594853711228
0.702,15/07/2020 19:55:11.728,1594853711728
0.799,15/07/2020 19:55:12.227,1594853712227
0.706,15/07/2020 19:55:12.727,1594853712727
0.702,15/07/2020 19:55:13.226,1594853713226
0.694,15/07/2020 19:55:13.726,1594853713726
0.699,15/07/2020 19:55:14.225,1594853714225
0.707,15/07/2020 19:55:14.725,1594853714725
0.697,15/07/2020 19:55:15.224,1594853715224
0.695,15/07/2020 19:55:15.723,1594853715723
0.699,15/07/2020 19:55:16.223,1594853716223
0.703,15/07/2020 19:55:16.722,1594853716722
0.684,15/07/2020 19:55:17.222,1594853717222
0.702,15/07/2020 19:55:17.721,1594853717721
0.701,15/07/2020 19:55:18.221,1594853718221
0.695,15/07/2020 19:55:18.720,1594853718720
0.699,15/07/2020 19:55:19.220,1594853719220
0.699,15/07/2020 19:55:19.719,1594853719719
0.698,15/07/2020 19:55:20.219,1594853720219
0.697,15/07/2020 19:55:20.718,1594853720718
0.700,15/07/2020 19:55:21.217,1594853721217
0.803,15/07/2020 19:55:21.717,1594853721717
0.695,15/07/2020 19:55:22.216,1594853722216
0.698,15/07/2020 19:55:22.716,1594853722716
0.699,15/07/2020 19:55:23.215,1594853723215
0.698,15/07/2020 19:55:23.715,1594853723715
0.703,15/07/2020 19:55:24.214,1594853724214
0.714,15/07/2020 19:55:24.714,1594853724714
0.701,15/07/2020 19:55:25.213,1594853725213
0.695,15/07/2020 19:55:25.713,1594853725713
0.690,15/07/2020 19:55:26.212,1594853726212
0.703,15/07/2020 19:55:26.711,1594853726711
0.706,15/07/2020 19:55:27.211,1594853727211
0.699,15/07/2020 19:55:27.710,1594853727710
0.701,15/07/2020 19:55:28.210,1594853728210
0.699,15/07/2020 19:55:28.709,1594853728709
0.703,15/07/2020 19:55:29.209,1594853729209
0.697,15/07/2020 19:55:29.708,1594853729708
0.713,15/07/2020 19:55:30.208,1594853730208
0.701,15/07/2020 19:55:30.707,1594853730707
0.705,15/07/2020 19:55:31.207,1594853731207
0.701,15/07/2020 19:55:31.706,1594853731706
0.699,15/07/2020 19:55:32.205,1594853732205
0.703,15/07/2020 19:55:32.705,1594853732705
0.705,15/07/2020 19:55:33.204,1594853733204
0.703,15/07/2020 19:55:33.704,1594853733704
0.714,15/07/2020 19:55:34.203,1594853734203
0.689,15/07/2020 19:55:34.703,1594853734703
0.698,15/07/2020 19:55:35.202,1594853735202
0.703,15/07/2020 19:55:35.702,1594853735702
0.704,15/07/2020 19:55:36.201,1594853736201
0.703,15/07/2020 19:55:36.701,1594853736701
0.704,15/07/2020 19:55:37.200,1594853737200
0.698,15/07/2020 19:55:37.699,1594853737699
0.702,15/07/2020 19:55:38.199,1594853738199
0.708,15/07/2020 19:55:38.698,1594853738698
0.707,15/07/2020 19:55:39.198,1594853739198
0.703,15/07/2020 19:55:39.697,1594853739697
0.708,15/07/2020 19:55:40.197,1594853740197
0.702,15/07/2020 19:55:40.696,1594853740696
0.697,15/07/2020 19:55:41.196,1594853741196
0.700,15/07/2020 19:55:41.695,1594853741695
0.704,15/07/2020 19:55:42.195,1594853742195
0.707,15/07/2020 19:55:42.694,1594853742694
0.689,15/07/2020 19:55:43.193,1594853743193
0.704,15/07/2020 19:55:43.693,1594853743693
0.709,15/07/2020 19:55:44.192,1594853744192
0.712,15/07/2020 19:55:44.692,1594853744692
0.713,15/07/2020 19:55:45.191,1594853745191
0.708,15/07/2020 19:55:45.691,1594853745691
0.712,15/07/2020 19:55:46.190,1594853746190
0.705,15/07/2020 19:55:46.690,1594853746690
0.747,15/07/2020 19:55:47.189,1594853747189
0.732,15/07/2020 19:55:47.689,1594853747689
0.731,15/07/2020 19:55:48.188,1594853748188
0.735,15/07/2020 19:55:48.687,1594853748687
0.738,15/07/2020 19:55:49.187,1594853749187
0.734,15/07/2020 19:55:49.686,1594853749686
0.734,15/07/2020 19:55:50.186,1594853750186
0.734,15/07/2020 19:55:50.685,1594853750685
0.731,15/07/2020 19:55:51.185,1594853751185
0.733,15/07/2020 19:55:51.684,1594853751684
0.705,15/07/2020 19:55:52.184,1594853752184
0.707,15/07/2020 19:55:52.683,1594853752683
0.719,15/07/2020 19:55:53.183,1594853753183
0.704,15/07/2020 19:55:53.682,1594853753682
0.698,15/07/2020 19:55:54.181,1594853754181
0.705,15/07/2020 19:55:54.681,1594853754681
0.703,15/07/2020 19:55:55.180,1594853755180
0.711,15/07/2020 19:55:55.680,1594853755680
0.698,15/07/2020 19:55:56.179,1594853756179
0.702,15/07/2020 19:55:56.679,1594853756679
0.704,15/07/2020 19:55:57.178,1594853757178
0.709,15/07/2020 19:55:57.678,1594853757678
0.705,15/07/2020 19:55:58.177,1594853758177
0.709,15/07/2020 19:55:58.677,1594853758677
0.706,15/07/2020 19:55:59.176,1594853759176
0.701,15/07/2020 19:55:59.675,1594853759675
0.711,15/07/2020 19:56:00.175,1594853760175
0.719,15/07/2020 19:56:00.674,1594853760674
0.709,15/07/2020 19:56:01.174,1594853761174
0.721,15/07/2020 19:56:01.673,1594853761673
0.728,15/07/2020 19:56:02.173,1594853762173
0.705,15/07/2020 19:56:02.672,1594853762672
0.702,15/07/2020 19:56:03.172,1594853763172
0.748,15/07/2020 19:56:03.671,1594853763671
0.712,15/07/2020 19:56:04.171,1594853764171
0.707,15/07/2020 19:56:04.670,1594853764670
0.709,15/07/2020 19:56:05.169,1594853765169
0.717,15/07/2020 19:56:05.669,1594853765669
0.704,15/07/2020 19:56:06.168,1594853766168
0.708,15/07/2020 19:56:06.668,1594853766668
0.706,15/07/2020 19:56:07.167,1594853767167
0.717,15/07/2020 19:56:07.667,1594853767667
0.709,15/07/2020 19:56:08.166,1594853768166
0.733,15/07/2020 19:56:08.666,1594853768666
0.718,15/07/2020 19:56:09.165,1594853769165
0.718,15/07/2020 19:56:09.665,1594853769665
0.720,15/07/2020 19:56:10.164,1594853770164
0.719,15/07/2020 19:56:10.663,1594853770663
0.719,15/07/2020 19:56:11.163,1594853771163
0.727,15/07/2020 19:56:11.662,1594853771662
0.719,15/07/2020 19:56:12.162,1594853772162
0.724,15/07/2020 19:56:12.661,1594853772661
0.703,15/07/2020 19:56:13.161,1594853773161
0.718,15/07/2020 19:56:13.660,1594853773660
0.709,15/07/2020 19:56:14.160,1594853774160
0.720,15/07/2020 19:56:14.659,1594853774659
0.717,15/07/2020 19:56:15.159,1594853775159
0.717,15/07/2020 19:56:15.658,1594853775658
0.716,15/07/2020 19:56:16.157,1594853776157
0.718,15/07/2020 19:56:16.657,1594853776657
0.724,15/07/2020 19:56:17.156,1594853777156
0.722,15/07/2020 19:56:17.656,1594853777656
0.716,15/07/2020 19:56:18.155,1594853778155
0.723,15/07/2020 19:56:18.655,1594853778655
0.720,15/07/2020 19:56:19.154,1594853779154
0.722,15/07/2020 19:56:19.654,1594853779654
0.717,15/07/2020 19:56:20.153,1594853780153
0.699,15/07/2020 19:56:20.653,1594853780653
0.708,15/07/2020 19:56:21.152,1594853781152
0.696,15/07/2020 19:56:21.651,1594853781651
0.698,15/07/2020 19:56:22.151,1594853782151
0.703,15/07/2020 19:56:22.650,1594853782650
0.705,15/07/2020 19:56:23.150,1594853783150
0.705,15/07/2020 19:56:23.649,1594853783649
0.704,15/07/2020 19:56:24.149,1594853784149
0.700,15/07/2020 19:56:24.648,1594853784648
0.700,15/07/2020 19:56:25.148,1594853785148
0.712,15/07/2020 19:56:25.647,1594853785647
0.707,15/07/2020 19:56:26.147,1594853786147
0.708,15/07/2020 19:56:26.646,1594853786646
0.704,15/07/2020 19:56:27.145,1594853787145
0.710,15/07/2020 19:56:27.645,1594853787645
0.703,15/07/2020 19:56:28.144,1594853788144
0.706,15/07/2020 19:56:28.644,1594853788644
0.708,15/07/2020 19:56:29.143,1594853789143
0.706,15/07/2020 19:56:29.643,1594853789643
0.771,15/07/2020 19:56:30.142,1594853790142
0.714,15/07/2020 19:56:30.642,1594853790642
0.720,15/07/2020 19:56:31.141,1594853791141
0.706,15/07/2020 19:56:31.641,1594853791641
